label_s,idHal_s,idHal_i,idrefId_s
Sébastien Breurec,sebastien-breurec,177152,https://www.idref.fr/06945535X
Lotfi Chaari,lotfi-chaari,737160,https://www.idref.fr/151564027
Lmt Cachan,olivierallix,1063,https://www.idref.fr/032151594
Dauzère-Pérès Stéphane,stephane-dauzere-peres,14449,https://www.idref.fr/070373973
Moinet Mireille,mireille-moinet,172593,https://www.idref.fr/146362136
Catalin Miron,catalinmiron,1222468,https://www.idref.fr/193121875
Jean-Louis Ballester,benoit-ballester,10776,https://www.idref.fr/111468833
Christophe Gourdon,catherine-gourdon,11794,https://www.idref.fr/085590428
Olivier Guilbaud,olivier-guilbaud,1147862,https://www.idref.fr/263483568
Ophélie Saison,ophelie-saison-francioso,736645,https://www.idref.fr/185613675
Sibel Catakli,sibel-berger,4150,https://www.idref.fr/083811559
Trung Tan Nguyen,the-cuong-nguyen,6119,https://www.idref.fr/184994896
P Indelicato,paul-indelicato,17063,https://www.idref.fr/083262369
Robert Rolland,robert-rolland,803,https://www.idref.fr/029621100
B. Sirjean,baptiste-sirjean,741384,https://www.idref.fr/131935380
F. Billaud,francis-billaud,10000,https://www.idref.fr/060765585
Loïc Cadiet,loic-cadiet,763983,https://www.idref.fr/029303958
Thierry Chardes,thierry-chardes,174051,https://www.idref.fr/103139524
Laroque Guy,guy-laroque,966769,https://www.idref.fr/026966832
Nathalie Stempak,nathalie-lallemand-stempak,170241,https://www.idref.fr/175204586
C. Campillo,clement-campillo,175651,https://www.idref.fr/226651762
Salim Faci,salim-faci,177989,https://www.idref.fr/123169917
L. Rigutti,lorenzo-rigutti,175282,https://www.idref.fr/197992595
Isabelle Djeran-Maigre,irini-djeran-maigre,175864,https://www.idref.fr/14424005X
Frédéric Blanchard,frederic-blanchard,21975,https://www.idref.fr/103877398
S. Dousset,sylvie-dousset,744547,https://www.idref.fr/073752622
Christophe Gouel,christophe-gouel,10243,https://www.idref.fr/152002847
Lucile Beck,lucile-beck,741031,https://www.idref.fr/06979569X
E Beaugnon,eric-beaugnon,171949,https://www.idref.fr/064958930
D. Feurer,denis-feurer,5126,https://www.idref.fr/146156366
Frédéric J. G. Cuisinier,frederic-cuisinier,18493,https://www.idref.fr/06627060X
B. Wetzel,benjamin-wetzel,174281,https://www.idref.fr/177605758
B. Grevin,benjamin-grevin,177077,https://www.idref.fr/085934852
C. Hochard,christian-hochard,8639,https://www.idref.fr/057685517
N. Lahellec,noel-lahellec,8500,https://www.idref.fr/193530953
Francois Clément,francois-clement,15396,https://www.idref.fr/193278464
L. Guérin Schneider,laetitia-guerin,736455,https://www.idref.fr/086147226
Omar Anza Hafsa,omar-anza-hafsa,16174,https://www.idref.fr/070728542
J.P. Mandallena,jean-philippe-mandallena,14867,https://www.idref.fr/104424907
Célia Basurko,mathieu-nacher,11286,https://www.idref.fr/087955512
Beucler É,eric-beucler,184452,https://www.idref.fr/08905122X
Christian Chopin,chopin-christian,862791,https://www.idref.fr/071401776
Conway S. J.,susan-conway,171124,https://www.idref.fr/228939828
Jean Baptiste Meynard,jean-baptiste-meynard,21185,https://www.idref.fr/110974859
T. Bouchez,theodore-bouchez,747206,https://www.idref.fr/127372806
S. Jacquir,sabir-jacquir,742544,https://www.idref.fr/111488729
Jerome Renault,jerome-renault,21086,https://www.idref.fr/112479952
A. Hamami,ameur-el-amine-hamami,171559,https://www.idref.fr/137754736
V. Dutraive,veronique-dutraive,1686,https://www.idref.fr/061057576
E. Dantony,emmanuelle-dantony,21750,https://www.idref.fr/057445176
S. Graff-Dubois,stephanie-graff-dubois,758457,https://www.idref.fr/175336040
N. Bierne,nbierne,170491,https://www.idref.fr/067120458
A. Bispo,antonio-bispo,737024,https://www.idref.fr/170411435
S. Darmoni,stefan-darmoni,180619,https://www.idref.fr/03514243X
P.V. Afonso,philippe-afonso,746775,https://www.idref.fr/128680555
Elodie Bourgeat Lami,elodie-bourgeat-lami,174512,https://www.idref.fr/086696955
Armel Cretual,armel-cretual,1510,https://www.idref.fr/07761853X
Emmanuel Le Clezio,emmanuel-le-clezio,18458,https://www.idref.fr/060748575
Philippe Druault,philippe-druault,172243,https://www.idref.fr/164437746
Jean Pierre Chery,jean-pierre-chery,9282,https://www.idref.fr/118588524
Jean Philippe Tonneau,jean-philippe-tonneau,744301,https://www.idref.fr/057529523
C. Bidet-Ildei,christel-bidet-ildei,2765,https://www.idref.fr/115861718
A. Dhalluin,anne-dhalluin,735535,https://www.idref.fr/077597206
Chantal Housset,chantalhousset,901285,https://www.idref.fr/080918433
J.-Y. Monteau,jean-yves-monteau,16729,https://www.idref.fr/033022178
Pascal Arné,arne-pascal,1240613,https://www.idref.fr/139019448
J.B.De. Vivie,jean-baptiste-de-vivie,741567,https://www.idref.fr/186392702
Édouard Canot,edouard-canot-86,10590,https://www.idref.fr/139871632
Julien Auber,julien-aubert,883790,https://www.idref.fr/060321679
Jean-Baptiste Trebbia,jean-baptiste-trebbia,740345,https://www.idref.fr/121317862
M. Fodil,mostefa-fodil,1084581,https://www.idref.fr/19922854X
Clement Huneau,chuneau,3154,https://www.idref.fr/171884310
R. Fournet,rene-fournet,10850,https://www.idref.fr/131935003
Éric Lefevre,eric-lefevre,748165,https://www.idref.fr/081781237
Pauline Collon-Drouaillet,pauline-collon,9231,https://www.idref.fr/07611290X
Luis Pino,lpino,1912,https://www.idref.fr/183761472
T. Bertero,thomas-bertero,739368,https://www.idref.fr/166652377
Hamid Null Kellay,hamid-kellay,14460,https://www.idref.fr/05893636X
Isabelle Junqua,jerome-morio,20012,https://www.idref.fr/128195320
C. Baron,claude-baron,17727,https://www.idref.fr/069057893
Marie-Hélène Grondin,mhgrondin,760583,https://www.idref.fr/14852026X
Mohammed Mosbah,mosbah,12689,https://www.idref.fr/085507393
F. François Lévêque,leveque-francois,6222,https://www.idref.fr/07787000X
François Jérôme,francois-jerome,178472,https://www.idref.fr/083682279
L. Cécillon,lauric-cecillon,742373,https://www.idref.fr/133997081
Gaëlle Pantin-Sohier,gaelle-pantin-sohier,183602,https://www.idref.fr/08843706X
Irina Lassot,irena-lassot,174534,https://www.idref.fr/253126355
Guillaud Hubert,hubert-guillaud,1429,https://www.idref.fr/026908379
M. Pala,marco-pala,178951,https://www.idref.fr/185867715
H.N. Yoshikawa,harunori-yoshikawa,3703,https://www.idref.fr/11304965X
J.M. Debierre,jean-marc-debierre,173849,https://www.idref.fr/068938322
Aurélien Merkel,aurelien-merkel,1185368,https://www.idref.fr/153208422
Markus Noisternig,markus-noisternig,6697,https://www.idref.fr/263071103
P. Criqui,patrick-criqui,3564,https://www.idref.fr/026805553
P. Menanteau,philippe-menanteau,3561,https://www.idref.fr/19186689X
G. Vaudel,gwenaelle-vaudel,176111,https://www.idref.fr/190136588
M. Edely,mathieu-edely,176112,https://www.idref.fr/201681978
Aicha Seklouli Sekhari,aicha-sekhari,9104,https://www.idref.fr/182629678
Claire M.M. Gachon,claire-gachon,183171,https://www.idref.fr/091976901
Jérome Fort,jerome-fort,752,https://www.idref.fr/153338458
R. Lemee,rodolphe-lemee,176762,https://www.idref.fr/169814637
Jean Luc Dion,dionj,9757,https://www.idref.fr/080615058
E. Bocher,erwan-bocher,1577,https://www.idref.fr/095751548
P.O. Mazagol,pierre-olivier-mazagol,1621,https://www.idref.fr/114645019
Westall Frances,frances-westall,741728,https://www.idref.fr/113956851
Leonardo Sanches,leonardo-sanches,173269,https://www.idref.fr/163227314
E. Thébault,erwan-thebault,740059,https://www.idref.fr/084691557
Philippe Poirier,philippe-poirier,1243344,https://www.idref.fr/081713835
R. Daudin,remi-daudin,20688,https://www.idref.fr/159724139
Nora Faci,noura-faci,5279,https://www.idref.fr/188349138
H. Meiss,helmut-meiss,753812,https://www.idref.fr/150561776
N. Forget,nicolas-forget,184739,https://www.idref.fr/198109717
A.S. Colas,anne-sophie-colas,739867,https://www.idref.fr/137716222
J.M. Tacnet,jean-marc-tacnet,172113,https://www.idref.fr/142809810
Chailloux Emmanuel,emmanuel-chailloux,9494,https://www.idref.fr/061629588
G. Russolillo,giorgio-russolillo,179716,https://www.idref.fr/199177899
Y. Biondi,yuribiondi,181420,https://www.idref.fr/076925897
Jerome Quirant,jerome-quirant,12371,https://www.idref.fr/081193165
L. Sabbado da Rosa,laura-sabbado-da-rosa,177529,https://www.idref.fr/187891664
Clément Lacroûte,clement-lacroute,178783,https://www.idref.fr/146391446
Benoit Bayol,benoit-bayol,1595,https://www.idref.fr/195121295
Samia Aci-Sèche,samiaaci,179808,https://www.idref.fr/090045939
Célia S. Bonnet,celia-bonnet,174787,https://www.idref.fr/11150175X
P. Lefranc,marc-lefranc,1197,https://www.idref.fr/070754470
Stephane Charpentier,stephane-charpentier,175116,https://www.idref.fr/258176768
Fabienne Brule,fabienne-brule,175077,https://www.idref.fr/158051092
Sabine F. Bensamoun,sabine-bensamoun,174889,https://www.idref.fr/081540086
Lucas Mello Schnorr,lucas-mello-schnorr,11643,https://www.idref.fr/146770935
Sandrine Leveque-Fort,sandrine-leveque-fort,741110,https://www.idref.fr/158691288
M. Foldyna,martin-foldyna,170007,https://www.idref.fr/193053888
Raphaëlle Germi,raphaele-germi,735993,https://www.idref.fr/059509104
H. Mesbah,hmesbah,16060,https://www.idref.fr/069837953
A. J. Banday,anthony-banday,179497,https://www.idref.fr/073735302
G. Prézeau,simon-prunet,739461,https://www.idref.fr/151240094
Max Louis,nadege-gandilhon,745778,https://www.idref.fr/194674975
A. Null Herique,alain-herique,177804,https://www.idref.fr/139429816
V. de Montety,veronique-de-montety,173285,https://www.idref.fr/128889438
Danièle Noel,daniele-noel,21357,https://www.idref.fr/166770000
V. Lebreton,vincent-lebreton,185048,https://www.idref.fr/104413778
C. Lissak,candide-lissak,7488,https://www.idref.fr/167584804
Thi Dang Xuan Thao,thao-dang,180504,https://www.idref.fr/121779823
Francois Clement,francois-clement,15396,https://www.idref.fr/193278464
P.-Y. Mahieux,pierre-yves-mahieux,182416,https://www.idref.fr/163644063
Bruno Quélennec,bruno-quelennec,881785,https://www.idref.fr/192399632
G. Faburel,guillaume-faburel,1007,https://www.idref.fr/06108753X
S. Ruy,stephane-ruy,735709,https://www.idref.fr/199437513
C. Lamberts,christine-lamberts,3742,https://www.idref.fr/090304845
V. Rey,vincent-rey,737004,https://www.idref.fr/090213416
V. Rey,valentine-rey,8996,https://www.idref.fr/190368586
Alfonso San Miguel,alfonso-san-miguel,7019,https://www.idref.fr/071554165
Marianne Chatard,marianne-bessemoulin-chatard,2652,https://www.idref.fr/17004727X
H. Roth Sallard,helene-roth,20152,https://www.idref.fr/035305584
